epoch,train_constraint_penalty,train_loss,train_prediction_loss,val_complement_component_loss,val_complement_energy,val_constraint_violation_max,val_constraint_violation_mean,val_loss,val_protected_component_loss,val_protected_energy,val_rollout_protected_relative_drift,val_rollout_violation_final
1,7.214762370432587e-13,0.12924393080174923,0.12924393080174923,4.0831102410265885e-07,1.838721371315053e-25,1.338625224889256e-06,6.973096446927229e-07,0.03718532621860504,0.037184666842222214,0.9257036447525024,1.746572494506836,0.00015848461771383882
2,7.618333386556243e-13,0.037627487210556865,0.037627487210556865,4.0831102410265885e-07,8.392935717526963e-25,1.7727070371620357e-06,8.281269856524887e-07,0.01584780029952526,0.015847142785787582,0.9146008491516113,1.2318458557128906,0.00017570183263160288
3,9.333855099957246e-13,0.022982267197221518,0.022982267197221518,4.0831102410265885e-07,7.0883076917111385e-25,1.945820258697495e-06,7.33830745502928e-07,0.009474586695432663,0.009473927319049835,0.9103624820709229,0.9918098449707031,6.643908818659838e-07
